Player,Nation,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Position 1,Position 2
Khvicha Kvaratskhelia,GEO,Napoli,it Serie A,22 years,30.4,42.0,21,11,19,12,15.0,49,30.6,34,15,1,14,13,55,9,0,Forward,
Giorgi Kvernadze,GEO,Frosinone,it Serie A,20 years,0.7,3.0,0,2,0,1,2.0,2,100.0,0,1,0,1,1,4,0,0,Forward,Defender
Moritz-Broni Kwarteng,GHA,Bochum,de Bundesliga,25 years,3.1,3.0,0,0,3,0,1.0,7,14.3,6,4,0,4,2,5,0,0,Forward,
Grejohn Kyei,FRA,Clermont Foot,fr Ligue 1,27 years,11.4,6.0,4,2,2,2,2.0,3,66.7,1,5,1,4,1,7,10,0,Forward,
Giorgos Kyriakopoulos,GRE,Monza,it Serie A,27 years,19.0,19.0,10,16,3,0,11.0,24,45.8,13,18,1,17,13,32,28,0,Defender,
Luca de la Torre,USA,Celta Vigo,es La Liga,25 years,21.7,39.0,21,12,22,5,22.0,43,51.2,21,23,4,19,12,51,17,0,Midfielder,
Gaëtan Laborde,FRA,Nice,fr Ligue 1,29 years,21.2,18.0,12,8,4,6,11.0,30,36.7,19,20,2,18,6,24,8,1,Forward,Midfielder
Alexandre Lacazette,FRA,Lyon,fr Ligue 1,32 years,25.5,19.0,12,8,9,2,5.0,17,29.4,12,22,3,19,8,27,9,0,Forward,
Maxence Lacroix,FRA,Wolfsburg,de Bundesliga,23 years,26.2,48.0,29,28,18,2,29.0,41,70.7,12,35,12,23,24,72,121,0,Defender,
Alban Lafont,FRA,Nantes,fr Ligue 1,24 years,27.7,0.0,0,0,0,0,0.0,2,0.0,2,0,0,0,0,0,14,0,Goalkeeper,
Yoel Lago,ESP,Celta Vigo,es La Liga,19 years,1.0,2.0,0,2,0,0,0.0,0,,0,1,0,1,0,2,2,0,Defender,
Aïssa Laïdouni,TUN,Union Berlin,de Bundesliga,26 years,11.9,21.0,12,4,12,5,4.0,12,33.3,8,26,2,24,12,33,14,2,Midfielder,
Konrad Laimer,AUT,Bayern Munich,de Bundesliga,26 years,19.7,56.0,36,25,20,11,22.0,52,42.3,30,42,6,36,18,74,13,2,Defender,Midfielder
Stefan Lainer,AUT,Gladbach,de Bundesliga,30 years,8.3,23.0,16,15,8,0,14.0,24,58.3,10,13,6,7,5,28,28,0,Defender,Midfielder
Kenny Lala,MAD,Brest,fr Ligue 1,31 years,33.0,78.0,51,39,28,11,30.0,56,53.6,26,27,6,21,28,106,75,1,Defender,
Adam Lallana,ENG,Brighton,eng Premier League,35 years,9.4,8.0,3,4,4,0,0.0,4,0.0,4,2,1,1,3,11,1,0,Midfielder,Forward
Mathis Lambourde,FRA,Rennes,fr Ligue 1,17 years,0.1,0.0,0,0,0,0,0.0,1,0.0,1,1,0,1,0,0,1,0,Forward,
Érik Lamela,ARG,Sevilla,es La Liga,31 years,5.1,21.0,14,4,10,7,10.0,15,66.7,5,12,0,12,1,22,5,0,Forward,Midfielder
Mohamed Lamine Bayo,GUI,Le Havre,fr Ligue 1,25 years,15.4,13.0,5,2,5,6,2.0,10,20.0,8,8,1,7,2,15,11,0,Forward,
Didier Lamkel Zé,CMR,Metz,fr Ligue 1,26 years,6.1,7.0,2,2,4,1,2.0,5,40.0,3,4,0,4,0,7,11,0,Forward,Midfielder
Tariq Lamptey,GHA,Brighton,eng Premier League,22 years,10.2,21.0,14,14,5,2,13.0,22,59.1,9,7,3,4,6,27,6,0,Defender,Forward
Bruno Langa,MOZ,Almería,es La Liga,25 years,9.1,17.0,12,10,5,2,6.0,14,42.9,8,11,4,7,4,21,33,2,Defender,
Gianluca Lapadula,PER,Cagliari,it Serie A,33 years,13.4,1.0,1,0,0,1,1.0,10,10.0,9,2,1,1,2,3,5,0,Forward,
Aymeric Laporte,ESP,Manchester City,eng Premier League,29 years,0.1,0.0,0,0,0,0,0.0,0,,0,1,1,0,0,0,1,0,Defender,
Julien Laporte,FRA,Lorient,fr Ligue 1,29 years,20.2,23.0,14,15,7,1,16.0,36,44.4,20,36,26,10,11,34,116,1,Defender,
Cyle Larin,CAN,Mallorca,es La Liga,28 years,20.3,17.0,8,6,4,7,2.0,7,28.6,5,16,5,11,3,20,17,0,Forward,
Yasser Larouci,ALG,Sheffield Utd,eng Premier League,22 years,5.9,17.0,9,10,5,2,10.0,14,71.4,4,6,1,5,7,24,20,1,Defender,
Hugo Larsson,SWE,Eintracht Frankfurt,de Bundesliga,19 years,21.0,32.0,18,18,10,4,15.0,28,53.6,13,34,7,27,29,61,30,1,Midfielder,
Jamaal Lascelles,ENG,Newcastle Utd,eng Premier League,29 years,12.0,14.0,9,7,7,0,6.0,11,54.5,5,17,12,5,5,19,42,0,Defender,
Juanmi Latasa,ESP,Getafe,es La Liga,22 years,17.3,9.0,7,0,6,3,1.0,11,9.1,10,9,0,9,4,13,21,0,Forward,
Toni Lato,ESP,Mallorca,es La Liga,25 years,17.2,38.0,23,19,13,6,16.0,27,59.3,11,17,3,14,17,55,27,0,Defender,
Armand Lauriente,FRA,Sassuolo,it Serie A,24 years,32.3,31.0,20,8,14,9,13.0,44,29.5,31,29,4,25,15,46,11,0,Forward,
Roméo Lavia,BEL,Chelsea,eng Premier League,19 years,0.4,1.0,0,0,1,0,0.0,0,,0,0,0,0,0,1,1,0,Midfielder,
Lázaro,BRA,Almería,es La Liga,21 years,3.2,4.0,1,2,0,2,2.0,8,25.0,6,4,0,4,1,5,1,0,Forward,Midfielder
Valentino Lazaro,AUT,Torino,it Serie A,27 years,22.2,18.0,11,7,9,2,13.0,19,68.4,6,14,1,13,8,26,29,0,Defender,Midfielder
Darko Lazović,SRB,Hellas Verona,it Serie A,32 years,21.4,26.0,16,11,6,9,16.0,31,51.6,15,10,1,9,6,32,14,0,Forward,Midfielder
Manuel Lazzari,ITA,Lazio,it Serie A,29 years,18.6,26.0,18,13,10,3,18.0,28,64.3,10,20,4,16,12,38,37,1,Defender,
Théo Le Bris,FRA,Lorient,fr Ligue 1,20 years,16.8,35.0,22,25,7,3,19.0,40,47.5,21,24,3,21,12,47,42,0,Defender,Midfielder
Julien Le Cardinal,FRA,Brest,fr Ligue 1,25 years,5.3,19.0,11,11,7,1,8.0,12,66.7,4,6,3,3,13,32,26,0,Defender,
Julien Le Cardinal,FRA,Lens,fr Ligue 1,25 years,0.6,6.0,2,4,2,0,4.0,9,44.4,5,2,1,1,0,6,0,0,Defender,
Jérémy Le Douaron,FRA,Brest,fr Ligue 1,25 years,18.0,21.0,10,7,9,5,11.0,26,42.3,15,14,1,13,2,23,10,0,Forward,
Enzo Le Fée,FRA,Rennes,fr Ligue 1,23 years,17.0,50.0,35,23,17,10,23.0,47,48.9,24,17,3,14,19,69,20,0,Midfielder,
Vincent Le Goff,FRA,Lorient,fr Ligue 1,33 years,6.0,5.0,0,4,0,1,4.0,8,50.0,4,11,3,8,3,8,10,0,Defender,Midfielder
Robin Le Normand,ESP,Real Sociedad,es La Liga,26 years,27.4,31.0,22,16,15,0,17.0,30,56.7,13,26,15,11,28,59,96,1,Defender,
Nicola Leali,ITA,Genoa,it Serie A,30 years,2.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Goalkeeper,
Rafael Leão,POR,Milan,it Serie A,24 years,27.9,16.0,10,3,8,5,8.0,13,61.5,5,15,1,14,9,25,19,0,Forward,
Adrien Lebeau,FRA,Brest,fr Ligue 1,24 years,0.6,0.0,0,0,0,0,0.0,3,0.0,3,2,1,1,0,0,1,0,Midfielder,Forward
Jean-Louis Leca,FRA,Lens,fr Ligue 1,37 years,1.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,1,0,Goalkeeper,
Benjamin Lecomte,FRA,Montpellier,fr Ligue 1,32 years,30.0,0.0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0,16,1,Goalkeeper,
Jeremías Ledesma,ARG,Cádiz,es La Liga,30 years,33.9,1.0,1,1,0,0,1.0,4,25.0,3,0,0,0,0,1,15,3,Goalkeeper,
Pierre Lees-Melou,FRA,Brest,fr Ligue 1,30 years,28.0,96.0,67,51,41,4,49.0,129,38.0,80,61,11,50,43,139,64,3,Midfielder,
Diogo Leite,POR,Union Berlin,de Bundesliga,24 years,30.0,52.0,36,31,15,6,25.0,51,49.0,26,48,22,26,47,99,155,1,Defender,
Maxim Leitsch,GER,Mainz 05,de Bundesliga,25 years,4.2,6.0,3,5,1,0,3.0,6,50.0,3,2,0,2,4,10,13,0,Defender,
Florian Lejeune,FRA,Rayo Vallecano,es La Liga,32 years,37.0,39.0,25,26,11,2,19.0,30,63.3,11,33,18,15,23,62,155,1,Defender,
Stefan Lekovic,SRB,Villarreal,es La Liga,19 years,0.3,0.0,0,0,0,0,0.0,0,,0,1,1,0,0,0,1,0,Defender,
Iñigo Lekue,ESP,Athletic Club,es La Liga,30 years,22.2,40.0,22,25,10,5,27.0,53,50.9,26,24,6,18,15,55,50,0,Defender,
Thomas Lemar,FRA,Atlético Madrid,es La Liga,27 years,1.8,3.0,1,2,1,0,1.0,2,50.0,1,0,0,0,0,3,0,0,Midfielder,
Mario Lemina,GAB,Wolves,eng Premier League,29 years,33.0,90.0,58,46,33,11,25.0,47,53.2,22,36,9,27,41,131,64,0,Midfielder,
Álvaro Lemos,ESP,Las Palmas,es La Liga,30 years,2.8,4.0,1,1,3,0,0.0,2,0.0,2,3,1,2,2,6,4,0,Defender,
Ruben Lendinez,ESP,Valencia,es La Liga,20 years,0.1,2.0,2,0,2,0,1.0,1,100.0,0,0,0,0,0,2,1,0,Defender,
Clément Lenglet,FRA,Aston Villa,eng Premier League,28 years,12.8,13.0,9,7,5,1,7.0,13,53.8,6,19,11,8,7,20,47,1,Defender,
Bernd Leno,GER,Fulham,eng Premier League,31 years,38.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,14,1,Goalkeeper,
Christopher Lenz,GER,RB Leipzig,de Bundesliga,28 years,0.5,2.0,1,2,0,0,1.0,1,100.0,0,0,0,0,2,4,2,0,Defender,Midfielder
Christopher Lenz,GER,Eintracht Frankfurt,de Bundesliga,28 years,0.1,1.0,1,0,1,0,1.0,1,100.0,0,0,0,0,0,1,1,0,Defender,
Johann Lepenant,FRA,Lyon,fr Ligue 1,20 years,2.8,4.0,3,2,2,0,1.0,8,12.5,7,5,0,5,4,8,0,0,Midfielder,
Jefferson Lerma,COL,Crystal Palace,eng Premier League,28 years,26.7,42.0,25,15,23,4,19.0,40,47.5,21,31,12,19,36,78,72,0,Midfielder,Defender
Léo Leroy,FRA,Montpellier,fr Ligue 1,23 years,5.5,19.0,10,8,8,3,6.0,21,28.6,15,12,3,9,7,26,8,0,Midfielder,
Robert Lewandowski,POL,Barcelona,es La Liga,34 years,30.6,8.0,5,0,6,2,4.0,12,33.3,8,13,4,9,9,17,18,0,Forward,
Jamie Leweling,GER,Stuttgart,de Bundesliga,22 years,16.9,18.0,10,4,6,8,5.0,17,29.4,12,21,1,20,5,23,13,0,Forward,Midfielder
Rico Lewis,ENG,Manchester City,eng Premier League,18 years,9.0,10.0,7,4,4,2,3.0,7,42.9,4,7,1,6,4,14,6,0,Defender,Midfielder
Keane Lewis-Potter,ENG,Brentford,eng Premier League,22 years,16.0,17.0,7,5,11,1,7.0,15,46.7,8,10,2,8,7,24,23,0,Forward,Defender
Philipp Lienhart,AUT,Freiburg,de Bundesliga,27 years,14.1,20.0,13,14,5,1,13.0,23,56.5,10,18,11,7,14,34,51,0,Defender,
Matthijs de Ligt,NED,Bayern Munich,de Bundesliga,23 years,15.4,15.0,12,4,8,3,6.0,11,54.5,5,14,10,4,19,34,52,0,Defender,
Victor Lindelöf,SWE,Manchester Utd,eng Premier League,29 years,14.8,15.0,10,8,7,0,5.0,13,38.5,8,18,9,9,12,27,40,1,Defender,
Jesper Lindstrøm,DEN,Napoli,it Serie A,23 years,4.8,8.0,3,2,3,3,4.0,8,50.0,4,3,0,3,2,10,6,0,Forward,Midfielder
Jesper Lindstrøm,DEN,Eintracht Frankfurt,de Bundesliga,23 years,0.9,1.0,1,1,0,0,0.0,0,,0,0,0,0,0,1,0,0,Forward,
Karol Linetty,POL,Torino,it Serie A,28 years,20.6,30.0,21,9,20,1,9.0,29,31.0,20,24,8,16,23,53,27,1,Midfielder,
Samuel Lino,BRA,Atlético Madrid,es La Liga,23 years,23.1,61.0,34,32,17,12,35.0,70,50.0,35,37,1,36,14,75,27,0,Defender,Midfielder
Luca Lipani,ITA,Sassuolo,it Serie A,18 years,4.3,9.0,7,4,3,2,3.0,11,27.3,8,9,2,7,6,15,7,0,Midfielder,
Pol Lirola,ESP,Frosinone,it Serie A,25 years,17.1,30.0,18,14,15,1,17.0,35,48.6,18,12,1,11,19,49,41,1,Defender,
Marcin Listkowski,POL,Lecce,it Serie A,25 years,0.1,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Forward,
Valentino Livramento,ENG,Newcastle Utd,eng Premier League,20 years,14.6,23.0,13,15,6,2,10.0,21,47.6,11,16,7,9,25,48,41,1,Defender,
Dejan Ljubicic,AUT,Köln,de Bundesliga,25 years,22.8,43.0,27,20,18,5,20.0,43,46.5,23,22,2,20,18,61,11,0,Midfielder,Forward
Javier Llabrés,ESP,Mallorca,es La Liga,20 years,2.7,3.0,1,1,1,1,1.0,2,50.0,1,1,0,1,3,6,4,0,Midfielder,Forward
Diego Llorente,ESP,Roma,it Serie A,29 years,24.1,31.0,19,20,10,1,11.0,24,45.8,13,40,27,13,22,53,79,0,Defender,
Marcos Llorente,ESP,Atlético Madrid,es La Liga,28 years,28.5,40.0,23,18,17,5,16.0,44,36.4,28,36,11,25,14,54,35,0,Midfielder,Defender
Gautier Lloris,FRA,Le Havre,fr Ligue 1,28 years,30.9,50.0,28,40,9,1,28.0,42,66.7,14,50,30,20,32,82,142,1,Defender,
Abou Lô,SEN,Metz,fr Ligue 1,23 years,2.2,3.0,1,2,1,0,1.0,4,25.0,3,5,2,3,4,7,8,0,Midfielder,Defender
Giovani Lo Celso,ARG,Tottenham,eng Premier League,27 years,5.6,22.0,13,10,8,4,9.0,14,64.3,5,4,1,3,5,27,2,0,Midfielder,
Stanislav Lobotka,SVK,Napoli,it Serie A,28 years,36.5,61.0,39,18,30,13,24.0,60,40.0,36,30,8,22,30,91,29,0,Midfielder,
Manuel Locatelli,ITA,Juventus,it Serie A,25 years,33.4,69.0,43,24,35,10,31.0,58,53.4,27,43,17,26,25,94,65,0,Midfielder,
Bradley Locko,FRA,Brest,fr Ligue 1,21 years,32.9,97.0,55,57,34,6,47.0,80,58.8,33,28,1,27,40,137,69,0,Defender,
Tom Lockyer,WAL,Luton Town,eng Premier League,28 years,13.0,25.0,16,17,6,2,15.0,22,68.2,7,23,13,10,23,48,68,0,Defender,
Renan Lodi,BRA,Marseille,fr Ligue 1,25 years,13.7,24.0,16,8,13,3,13.0,21,61.9,8,7,2,5,16,40,35,0,Defender,
Ruben Loftus-Cheek,ENG,Milan,it Serie A,27 years,23.0,28.0,18,7,14,7,15.0,27,55.6,12,24,12,12,9,37,10,1,Midfielder,
Elysée Logbo,FRA,Le Havre,fr Ligue 1,19 years,2.8,0.0,0,0,0,0,0.0,3,0.0,3,7,3,4,0,0,2,0,Forward,
Enzo Loiodice,FRA,Las Palmas,es La Liga,22 years,19.9,62.0,35,15,34,13,20.0,42,47.6,22,20,2,18,12,74,16,1,Midfielder,
Sean Longstaff,ENG,Newcastle Utd,eng Premier League,25 years,30.5,54.0,30,17,29,8,24.0,63,38.1,39,43,7,36,17,71,23,0,Midfielder,
Ademola Lookman,NGA,Atalanta,it Serie A,25 years,21.0,20.0,15,2,11,7,8.0,22,36.4,14,19,0,19,9,29,0,1,Forward,Midfielder
Noah Loosli,SUI,Bochum,de Bundesliga,26 years,3.8,10.0,7,6,4,0,7.0,14,50.0,7,7,1,6,7,17,18,0,Defender,
Anthony Lopes,POR,Lyon,fr Ligue 1,32 years,31.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,16,0,Goalkeeper,
David López,ESP,Girona,es La Liga,33 years,21.8,33.0,20,21,12,0,17.0,22,77.3,5,28,19,9,20,53,63,4,Defender,
Diego López,ESP,Valencia,es La Liga,21 years,29.5,37.0,25,14,16,7,13.0,56,23.2,43,23,1,22,20,57,12,0,Midfielder,Forward
Fermin López,ESP,Barcelona,es La Liga,20 years,16.1,41.0,21,15,18,8,14.0,40,35.0,26,14,1,13,4,45,9,0,Midfielder,Forward
Javi López,ESP,Alavés,es La Liga,21 years,26.5,23.0,12,11,9,3,15.0,26,57.7,11,25,9,16,10,33,77,1,Defender,
Maxime Lopez,FRA,Fiorentina,it Serie A,25 years,8.9,18.0,9,5,10,3,6.0,12,50.0,6,3,1,2,7,25,6,0,Midfielder,
Maxime Lopez,FRA,Sassuolo,it Serie A,25 years,1.6,2.0,1,1,1,0,1.0,2,50.0,1,1,1,0,2,4,0,0,Midfielder,
Pau López,ESP,Marseille,fr Ligue 1,28 years,32.7,0.0,0,0,0,0,0.0,2,0.0,2,0,0,0,0,0,10,1,Goalkeeper,
Unai López,ESP,Rayo Vallecano,es La Liga,27 years,23.4,48.0,24,18,23,7,21.0,53,39.6,32,24,3,21,16,64,15,2,Midfielder,
Dion Lopy,SEN,Almería,es La Liga,21 years,21.3,62.0,37,36,20,6,17.0,44,38.6,27,23,5,18,15,77,22,2,Midfielder,
Anthony Losilla,FRA,Bochum,de Bundesliga,37 years,28.6,63.0,37,15,40,8,23.0,51,45.1,28,37,8,29,25,88,51,0,Midfielder,
Jordan Lotomba,SUI,Nice,fr Ligue 1,24 years,20.0,36.0,28,18,9,9,25.0,35,71.4,10,30,9,21,16,52,26,1,Defender,
Tom Louchet,FRA,Nice,fr Ligue 1,20 years,4.5,14.0,5,6,6,2,7.0,11,63.6,4,7,3,4,3,17,9,0,Midfielder,Defender
Imran Louza,MAR,Lorient,fr Ligue 1,24 years,9.6,13.0,7,2,8,3,2.0,8,25.0,6,8,1,7,9,22,4,0,Midfielder,
Matteo Lovato,ITA,Torino,it Serie A,23 years,6.0,10.0,7,5,5,0,4.0,5,80.0,1,9,5,4,13,23,10,0,Defender,
Matteo Lovato,ITA,Salernitana,it Serie A,23 years,10.5,27.0,14,17,8,2,16.0,24,66.7,8,14,7,7,18,45,41,1,Defender,
Dejan Lovren,CRO,Lyon,fr Ligue 1,34 years,8.0,9.0,7,6,3,0,3.0,7,42.9,4,6,5,1,12,21,37,0,Defender,
Sandi Lovrić,SVN,Udinese,it Serie A,25 years,22.1,25.0,12,9,11,5,9.0,23,39.1,14,21,2,19,21,46,24,0,Midfielder,
Max Lowe,ENG,Sheffield Utd,eng Premier League,26 years,5.6,21.0,10,13,5,3,8.0,15,53.3,7,10,4,6,5,26,15,0,Defender,Midfielder
Anthony Lozano,HON,Getafe,es La Liga,30 years,1.0,0.0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0,1,0,Midfielder,Forward
Anthony Lozano,HON,Almería,es La Liga,30 years,8.6,7.0,5,2,5,0,4.0,7,57.1,3,6,1,5,2,9,12,0,Forward,
Lucas,BRA,Cádiz,es La Liga,22 years,17.1,47.0,27,32,11,4,32.0,55,58.2,23,27,4,23,17,64,45,0,Defender,
Lorenzo Lucca,ITA,Udinese,it Serie A,22 years,28.8,19.0,11,4,11,4,5.0,20,25.0,15,18,3,15,3,22,36,1,Forward,
Jhon Lucumí,COL,Bologna,it Serie A,25 years,24.6,48.0,29,31,17,0,27.0,36,75.0,9,32,17,15,16,64,68,2,Defender,
José Luis Gayà,ESP,Valencia,es La Liga,28 years,19.9,71.0,36,44,23,4,43.0,67,64.2,24,18,3,15,11,82,42,0,Defender,
José Luis Morales,ESP,Villarreal,es La Liga,36 years,11.6,5.0,3,1,4,0,3.0,13,23.1,10,9,1,8,7,12,4,0,Forward,Midfielder
José Luis Palomino,ARG,Atalanta,it Serie A,33 years,0.3,2.0,1,1,1,0,1.0,1,100.0,0,2,1,1,1,3,6,0,Defender,
Douglas Luiz,BRA,Aston Villa,eng Premier League,25 years,33.3,58.0,38,21,27,10,25.0,53,47.2,28,32,8,24,23,81,18,2,Midfielder,
Romelu Lukaku,BEL,Roma,it Serie A,30 years,29.3,6.0,5,1,2,3,2.0,4,50.0,2,7,1,6,0,6,19,1,Forward,
Castello Lukeba,FRA,RB Leipzig,de Bundesliga,20 years,24.3,19.0,12,10,9,0,10.0,12,83.3,2,35,13,22,12,31,94,2,Defender,
Dodi Lukebakio,BEL,Sevilla,es La Liga,25 years,12.5,5.0,2,2,2,1,1.0,6,16.7,5,9,2,7,2,7,5,0,Forward,Midfielder
Saša Lukić,SRB,Fulham,eng Premier League,26 years,12.5,33.0,19,9,17,7,18.0,39,46.2,21,18,5,13,16,49,19,1,Midfielder,
Karlo Lulić,CRO,Frosinone,it Serie A,27 years,0.2,0.0,0,0,0,0,0.0,0,,0,1,0,1,1,1,0,0,Midfielder,
Andriy Lunin,UKR,Real Madrid,es La Liga,24 years,21.0,0.0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0,15,1,Goalkeeper,
Sebastiano Luperto,ITA,Empoli,it Serie A,26 years,37.8,37.0,26,25,10,2,15.0,24,62.5,9,46,35,11,32,69,157,1,Defender,
Mateus Lusuardi,BRA,Frosinone,it Serie A,19 years,2.4,2.0,1,1,1,0,1.0,3,33.3,2,4,2,2,4,6,8,0,Defender,
Andreas Luthe,GER,Bochum,de Bundesliga,36 years,1.0,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,1,0,Goalkeeper,
Zito Luvumbo,ANG,Cagliari,it Serie A,21 years,21.6,9.0,6,5,2,2,4.0,15,26.7,11,19,0,19,1,10,2,0,Forward,Midfielder
Charalambos Lykogiannis,GRE,Bologna,it Serie A,29 years,10.0,10.0,6,5,4,1,5.0,10,50.0,5,15,5,10,5,15,30,0,Defender,
Senne Lynen,BEL,Werder Bremen,de Bundesliga,24 years,20.0,64.0,38,33,27,4,30.0,70,42.9,40,41,8,33,41,105,56,0,Midfielder,
Joshua M'Bahia,CIV,Clermont Foot,fr Ligue 1,18 years,0.2,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0,0,Midfielder,
Othmane Maamma,MAR,Montpellier,fr Ligue 1,17 years,1.0,3.0,3,2,0,1,1.0,1,100.0,0,3,0,3,0,3,0,0,Forward,
Ian Maatsen,NED,Chelsea,eng Premier League,21 years,2.3,3.0,2,1,1,1,0.0,4,0.0,4,4,0,4,3,6,10,0,Forward,Midfielder
Ian Maatsen,NED,Dortmund,de Bundesliga,21 years,14.0,30.0,22,15,9,6,16.0,30,53.3,14,22,4,18,13,43,26,0,Defender,
Alexis Mac Allister,ARG,Liverpool,eng Premier League,24 years,28.9,99.0,55,35,50,14,59.0,125,47.2,66,65,8,57,35,134,25,1,Midfielder,
Deiver Machado,COL,Lens,fr Ligue 1,29 years,12.5,24.0,18,10,10,4,15.0,20,75.0,5,13,2,11,7,31,8,0,Defender,
Darwin Machís,VEN,Cádiz,es La Liga,30 years,8.7,23.0,14,7,9,7,13.0,24,54.2,11,8,1,7,4,27,2,0,Midfielder,
James Maddison,ENG,Tottenham,eng Premier League,26 years,23.7,33.0,19,5,18,10,15.0,29,51.7,14,15,3,12,13,46,10,1,Midfielder,
Noni Madueke,ENG,Chelsea,eng Premier League,21 years,11.7,16.0,10,8,4,4,11.0,34,32.4,23,11,0,11,4,20,14,0,Forward,
Pablo Maffeo,ESP,Mallorca,es La Liga,26 years,16.2,35.0,22,18,13,4,23.0,40,57.5,17,12,2,10,10,45,23,0,Defender,
Gabriel Magalhães,BRA,Arsenal,eng Premier League,25 years,33.8,48.0,28,24,22,2,17.0,22,77.3,5,44,33,11,31,79,100,1,Defender,
Soungoutou Magassa,FRA,Monaco,fr Ligue 1,19 years,15.0,56.0,26,22,32,2,26.0,48,54.2,22,21,4,17,21,77,36,2,Defender,Midfielder
Giulio Maggiore,ITA,Salernitana,it Serie A,25 years,20.0,49.0,29,26,22,1,20.0,42,47.6,22,27,5,22,24,73,38,0,Midfielder,
Matej Maglica,CRO,Darmstadt 98,de Bundesliga,24 years,18.9,35.0,21,25,10,0,22.0,36,61.1,14,29,11,18,22,57,92,5,Defender,
Giangiacomo Magnani,ITA,Hellas Verona,it Serie A,27 years,27.2,33.0,18,23,10,0,15.0,25,60.0,10,50,28,22,45,78,118,0,Defender,
Hugo Magnetti,FRA,Brest,fr Ligue 1,25 years,26.0,49.0,27,18,26,5,24.0,58,41.4,34,19,1,18,18,67,18,0,Midfielder,
Yohann Magnin,FRA,Clermont Foot,fr Ligue 1,26 years,18.7,49.0,31,12,32,5,22.0,47,46.8,25,38,13,25,19,68,26,1,Midfielder,
Frank Magri,CMR,Toulouse,fr Ligue 1,23 years,16.0,22.0,14,5,12,5,15.0,21,71.4,6,16,4,12,4,26,17,0,Forward,Midfielder
Harry Maguire,ENG,Manchester Utd,eng Premier League,30 years,18.4,24.0,17,14,10,0,12.0,22,54.5,10,33,24,9,25,49,83,1,Defender,
Jon Magunazelaia,ESP,Real Sociedad,es La Liga,23 years,1.3,5.0,3,2,3,0,4.0,8,50.0,4,3,0,3,0,5,2,0,Forward,Midfielder
Adel Mahamoud,COM,Nantes,fr Ligue 1,20 years,0.1,0.0,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0,0,0,Forward,
Arne Maier,GER,Augsburg,de Bundesliga,24 years,11.1,14.0,9,5,8,1,5.0,14,35.7,9,19,2,17,6,20,11,0,Midfielder,
Habib Maïga,CIV,Metz,fr Ligue 1,27 years,1.6,2.0,2,1,0,1,1.0,3,33.3,2,2,0,2,4,6,2,0,Midfielder,Forward
Mike Maignan,FRA,Milan,it Serie A,28 years,29.0,1.0,0,1,0,0,1.0,1,100.0,0,1,0,1,1,2,4,3,Goalkeeper,
Linton Maina,GER,Köln,de Bundesliga,24 years,21.1,18.0,15,11,5,2,9.0,28,32.1,19,12,1,11,6,24,12,0,Forward,Midfielder
Patrick Mainka,GER,Heidenheim,de Bundesliga,28 years,34.0,85.0,49,58,24,3,38.0,74,51.4,36,66,32,34,49,134,158,1,Defender,
Kobbie Mainoo,ENG,Manchester Utd,eng Premier League,18 years,21.4,47.0,27,20,16,11,21.0,45,46.7,24,20,12,8,22,69,30,1,Midfielder,
Ainsley Maitland-Niles,ENG,Lyon,fr Ligue 1,25 years,15.9,34.0,18,12,14,8,19.0,37,51.4,18,16,6,10,17,51,29,1,Defender,Midfielder
Radosław Majecki,POL,Monaco,fr Ligue 1,23 years,12.0,0.0,0,0,0,0,0.0,0,,0,1,0,1,0,0,5,1,Goalkeeper,
Lovro Majer,CRO,Rennes,fr Ligue 1,25 years,0.2,0.0,0,0,0,0,0.0,0,,0,0,0,0,0,0,1,0,Midfielder,
Lovro Majer,CRO,Wolfsburg,de Bundesliga,25 years,23.4,39.0,18,17,22,0,12.0,31,38.7,19,20,1,19,12,51,13,0,Midfielder,Forward
Jean-Victor Makengo,FRA,Lorient,fr Ligue 1,25 years,5.3,5.0,4,3,2,0,2.0,6,33.3,4,12,1,11,8,13,5,0,Midfielder,Forward
Jordy Makengo,FRA,Freiburg,de Bundesliga,21 years,11.4,17.0,11,11,5,1,6.0,10,60.0,4,16,4,12,11,28,37,0,Defender,
Antoine Makoumbou,CGO,Cagliari,it Serie A,25 years,30.0,41.0,24,21,15,5,15.0,30,50.0,15,23,4,19,16,57,27,2,Midfielder,
Nemanja Maksimović,SRB,Getafe,es La Liga,28 years,36.3,65.0,43,26,31,8,23.0,41,56.1,18,56,23,33,46,111,61,0,Midfielder,
