Player,Nation,Squad,Age,90s,SCA,SCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,GCA,GCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,Position 1,Position 2
Kaine Kesler-Hayden,ENG,Aston Villa,"20 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Max Kilman,ENG,Wolves,"26 years,  days",38.0,39,1.03,34.0,0.0,2.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Jakub Kiwior,POL,Arsenal,"23 years,  days",10.5,13,1.24,10.0,2.0,0.0,0.0,1.0,0.0,4,0.38,3.0,1.0,0.0,0.0,0.0,0.0,Defender,
Justin Kluivert,NED,Bournemouth,"24 years,  days",21.3,59,2.77,37.0,0.0,9.0,6.0,4.0,3.0,5,0.23,3.0,0.0,1.0,0.0,0.0,1.0,Midfielder,Forward
Luca Koleosho,ITA,Burnley,"18 years,  days",10.8,28,2.59,12.0,0.0,11.0,2.0,3.0,0.0,6,0.56,2.0,0.0,3.0,0.0,1.0,0.0,Midfielder,Forward
Ibrahima Konaté,FRA,Liverpool,"24 years,  days",17.5,24,1.37,24.0,0.0,0.0,0.0,0.0,0.0,1,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Ezri Konsa,ENG,Aston Villa,"25 years,  days",34.1,34,1.0,25.0,1.0,2.0,2.0,3.0,1.0,6,0.18,3.0,1.0,0.0,0.0,1.0,1.0,Defender,
Cheikhou Kouyaté,SEN,Nottingham Forest,"33 years,  days",2.4,8,3.4,5.0,0.0,0.0,2.0,0.0,1.0,1,0.42,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Mateo Kovačić,CRO,Manchester City,"29 years,  days",17.2,54,3.14,47.0,0.0,2.0,4.0,1.0,0.0,6,0.35,5.0,0.0,0.0,1.0,0.0,0.0,Midfielder,
Emil Krafth,SWE,Newcastle Utd,"28 years,  days",10.1,18,1.77,13.0,3.0,1.0,0.0,1.0,0.0,1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Mohammed Kudus,GHA,West Ham,"22 years,  days",27.6,100,3.62,53.0,1.0,25.0,8.0,12.0,1.0,16,0.58,8.0,0.0,3.0,3.0,2.0,0.0,Forward,Midfielder
Dejan Kulusevski,SWE,Tottenham,"23 years,  days",30.7,127,4.14,104.0,1.0,9.0,11.0,0.0,2.0,8,0.26,6.0,0.0,1.0,0.0,0.0,1.0,Forward,Midfielder
Adam Lallana,ENG,Brighton,"35 years,  days",9.4,28,2.96,27.0,0.0,0.0,0.0,1.0,0.0,1,0.11,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Tariq Lamptey,GHA,Brighton,"22 years,  days",10.2,17,1.68,15.0,0.0,1.0,1.0,0.0,0.0,3,0.3,3.0,0.0,0.0,0.0,0.0,0.0,Defender,Forward
Aymeric Laporte,ESP,Manchester City,"29 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Yasser Larouci,ALG,Sheffield Utd,"22 years,  days",5.9,8,1.36,5.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Jamaal Lascelles,ENG,Newcastle Utd,"29 years,  days",12.0,8,0.67,7.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Roméo Lavia,BEL,Chelsea,"19 years,  days",0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Mario Lemina,GAB,Wolves,"29 years,  days",33.0,47,1.42,42.0,0.0,0.0,4.0,1.0,0.0,5,0.15,4.0,0.0,0.0,0.0,1.0,0.0,Midfielder,
Clément Lenglet,FRA,Aston Villa,"28 years,  days",12.8,15,1.17,11.0,1.0,0.0,3.0,0.0,0.0,1,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Bernd Leno,GER,Fulham,"31 years,  days",38.0,1,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Jefferson Lerma,COL,Crystal Palace,"28 years,  days",26.7,55,2.06,49.0,0.0,1.0,3.0,1.0,1.0,4,0.15,4.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Rico Lewis,ENG,Manchester City,"18 years,  days",9.0,15,1.67,15.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Keane Lewis-Potter,ENG,Brentford,"22 years,  days",16.0,33,2.06,21.0,0.0,6.0,4.0,2.0,0.0,2,0.12,1.0,0.0,0.0,1.0,0.0,0.0,Forward,Defender
Victor Lindelöf,SWE,Manchester Utd,"29 years,  days",14.8,19,1.29,19.0,0.0,0.0,0.0,0.0,0.0,3,0.2,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Valentino Livramento,ENG,Newcastle Utd,"20 years,  days",14.6,36,2.47,28.0,0.0,2.0,1.0,3.0,2.0,5,0.34,3.0,0.0,1.0,0.0,1.0,0.0,Defender,
Giovani Lo Celso,ARG,Tottenham,"27 years,  days",5.6,28,4.96,22.0,2.0,1.0,2.0,1.0,0.0,3,0.53,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Tom Lockyer,WAL,Luton Town,"28 years,  days",13.0,10,0.77,9.0,0.0,0.0,0.0,0.0,1.0,1,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Sean Longstaff,ENG,Newcastle Utd,"25 years,  days",30.5,51,1.67,43.0,1.0,1.0,3.0,3.0,0.0,7,0.23,3.0,1.0,1.0,1.0,1.0,0.0,Midfielder,
Max Lowe,ENG,Sheffield Utd,"26 years,  days",5.6,8,1.43,7.0,0.0,0.0,1.0,0.0,0.0,1,0.18,1.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Douglas Luiz,BRA,Aston Villa,"25 years,  days",33.3,117,3.52,61.0,34.0,6.0,10.0,5.0,1.0,10,0.3,5.0,4.0,0.0,0.0,1.0,0.0,Midfielder,
Saša Lukić,SRB,Fulham,"26 years,  days",12.5,27,2.17,19.0,0.0,1.0,6.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Ian Maatsen,NED,Chelsea,"21 years,  days",2.3,5,2.15,3.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Alexis Mac Allister,ARG,Liverpool,"24 years,  days",28.9,108,3.74,92.0,5.0,3.0,1.0,5.0,2.0,12,0.42,10.0,1.0,1.0,0.0,0.0,0.0,Midfielder,
James Maddison,ENG,Tottenham,"26 years,  days",23.7,161,6.79,110.0,22.0,10.0,6.0,10.0,3.0,19,0.8,13.0,1.0,2.0,1.0,1.0,1.0,Midfielder,
Noni Madueke,ENG,Chelsea,"21 years,  days",11.7,51,4.35,34.0,1.0,8.0,2.0,6.0,0.0,8,0.68,4.0,0.0,1.0,0.0,3.0,0.0,Forward,
Gabriel Magalhães,BRA,Arsenal,"25 years,  days",33.8,23,0.68,20.0,1.0,0.0,1.0,0.0,1.0,3,0.09,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Harry Maguire,ENG,Manchester Utd,"30 years,  days",18.4,24,1.31,19.0,0.0,0.0,1.0,1.0,3.0,4,0.22,2.0,0.0,0.0,1.0,1.0,0.0,Defender,
Kobbie Mainoo,ENG,Manchester Utd,"18 years,  days",21.4,40,1.87,31.0,0.0,3.0,3.0,2.0,1.0,8,0.37,3.0,0.0,2.0,2.0,1.0,0.0,Midfielder,
Orel Mangala,BEL,Nottingham Forest,"25 years,  days",17.4,20,1.15,17.0,0.0,0.0,0.0,1.0,2.0,2,0.12,1.0,0.0,0.0,0.0,0.0,1.0,Midfielder,
Benson Manuel,ANG,Burnley,"26 years,  days",1.3,6,4.7,3.0,0.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Solly March,ENG,Brighton,"29 years,  days",6.2,22,3.57,8.0,8.0,2.0,1.0,2.0,1.0,2,0.32,0.0,1.0,0.0,0.0,1.0,0.0,Forward,Defender
Anthony Martial,FRA,Manchester Utd,"27 years,  days",5.0,11,2.21,9.0,0.0,0.0,1.0,1.0,0.0,1,0.2,0.0,0.0,0.0,0.0,1.0,0.0,Forward,
Gabriel Martinelli,BRA,Arsenal,"22 years,  days",22.4,92,4.1,63.0,6.0,12.0,8.0,1.0,2.0,11,0.49,7.0,1.0,1.0,2.0,0.0,0.0,Forward,
Emiliano Martínez,ARG,Aston Villa,"30 years,  days",33.5,3,0.09,3.0,0.0,0.0,0.0,0.0,0.0,1,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Lisandro Martínez,ARG,Manchester Utd,"25 years,  days",7.2,7,0.98,6.0,0.0,0.0,0.0,0.0,1.0,1,0.14,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Han-Noah Massengo,FRA,Burnley,"22 years,  days",0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Pape Matar Sarr,SEN,Tottenham,"20 years,  days",23.0,52,2.26,43.0,0.0,0.0,3.0,2.0,4.0,7,0.3,6.0,0.0,0.0,1.0,0.0,0.0,Midfielder,
Jean-Philippe Mateta,FRA,Crystal Palace,"26 years,  days",25.4,65,2.56,48.0,0.0,5.0,6.0,4.0,2.0,12,0.47,8.0,0.0,1.0,1.0,2.0,0.0,Forward,
Joël Matip,CMR,Liverpool,"31 years,  days",8.7,8,0.92,8.0,0.0,0.0,0.0,0.0,0.0,1,0.12,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Alex Matos,ENG,Chelsea,"18 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Remi Matthews,ENG,Crystal Palace,"29 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Neal Maupay,FRA,Brentford,"26 years,  days",14.7,40,2.72,31.0,0.0,2.0,6.0,0.0,1.0,5,0.34,5.0,0.0,0.0,0.0,0.0,0.0,Forward,
Neal Maupay,FRA,Everton,"26 years,  days",1.2,3,2.41,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Konstantinos Mavropanos,GRE,West Ham,"25 years,  days",16.7,10,0.6,7.0,0.0,0.0,1.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Bryan Mbeumo,CMR,Brentford,"23 years,  days",21.8,82,3.77,45.0,23.0,2.0,5.0,7.0,0.0,10,0.46,9.0,1.0,0.0,0.0,0.0,0.0,Forward,
James Mcatee,ENG,Sheffield Utd,"20 years,  days",20.2,60,2.97,45.0,4.0,5.0,4.0,2.0,0.0,3,0.15,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
James Mcatee,ENG,Manchester City,"20 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Oliver McBurnie,SCO,Sheffield Utd,"27 years,  days",14.2,29,2.04,24.0,0.0,0.0,2.0,3.0,0.0,7,0.49,6.0,0.0,0.0,0.0,1.0,0.0,Forward,
James McConnell,ENG,Liverpool,"18 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
John McGinn,SCO,Aston Villa,"28 years,  days",33.3,106,3.18,88.0,9.0,6.0,2.0,1.0,0.0,14,0.42,11.0,1.0,2.0,0.0,0.0,0.0,Midfielder,Forward
Scott McKenna,SCO,Nottingham Forest,"26 years,  days",4.6,2,0.43,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Dwight McNeil,ENG,Everton,"23 years,  days",32.1,130,4.05,77.0,33.0,5.0,6.0,6.0,3.0,9,0.28,3.0,4.0,0.0,1.0,1.0,0.0,Midfielder,Forward
Scott McTominay,SCO,Manchester Utd,"26 years,  days",21.1,26,1.23,18.0,0.0,1.0,4.0,1.0,2.0,2,0.09,1.0,0.0,0.0,0.0,0.0,1.0,Midfielder,Forward
Ben Mee,ENG,Brentford,"33 years,  days",14.1,14,0.99,11.0,1.0,0.0,2.0,0.0,0.0,1,0.07,0.0,0.0,0.0,1.0,0.0,0.0,Defender,
Hannibal Mejbri,TUN,Manchester Utd,"20 years,  days",1.5,6,4.06,5.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Teden Mengi,ENG,Luton Town,"21 years,  days",27.4,14,0.51,11.0,0.0,2.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Chris Mepham,WAL,Bournemouth,"25 years,  days",6.9,11,1.6,8.0,1.0,0.0,0.0,0.0,2.0,2,0.29,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Lewis Miley,ENG,Newcastle Utd,"17 years,  days",13.4,31,2.32,24.0,0.0,2.0,3.0,0.0,2.0,5,0.37,4.0,0.0,0.0,0.0,0.0,1.0,Midfielder,
James Milner,ENG,Brighton,"37 years,  days",8.6,24,2.79,20.0,4.0,0.0,0.0,0.0,0.0,2,0.23,0.0,2.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Tyrone Mings,ENG,Aston Villa,"30 years,  days",0.3,2,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Tyrick Mitchell,ENG,Crystal Palace,"23 years,  days",35.6,47,1.32,40.0,2.0,1.0,2.0,1.0,1.0,4,0.11,4.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Kaoru Mitoma,JPN,Brighton,"26 years,  days",16.5,62,3.76,47.0,0.0,10.0,3.0,2.0,0.0,10,0.61,6.0,0.0,3.0,1.0,0.0,0.0,Forward,
Aleksandar Mitrović,SRB,Fulham,"28 years,  days",0.4,2,5.45,1.0,0.0,1.0,0.0,0.0,0.0,1,2.73,1.0,0.0,0.0,0.0,0.0,0.0,Forward,
Jakub Moder,POL,Brighton,"24 years,  days",6.9,13,1.89,11.0,0.0,1.0,1.0,0.0,0.0,1,0.15,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Gonzalo Montiel,ARG,Nottingham Forest,"26 years,  days",8.9,15,1.69,14.0,0.0,0.0,1.0,0.0,0.0,2,0.22,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Kieffer Moore,WAL,Bournemouth,"30 years,  days",1.2,5,4.17,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Mikey Moore,ENG,Tottenham,"15 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Álex Moreno,ESP,Aston Villa,"30 years,  days",11.5,22,1.92,19.0,0.0,2.0,1.0,0.0,0.0,1,0.09,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Carlton Morris,ENG,Luton Town,"27 years,  days",31.8,71,2.23,49.0,0.0,5.0,10.0,6.0,1.0,8,0.25,4.0,0.0,0.0,3.0,1.0,0.0,Forward,Midfielder
Mason Mount,ENG,Manchester Utd,"24 years,  days",5.7,18,3.15,11.0,2.0,2.0,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Divin Mubama,ENG,West Ham,"18 years,  days",0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Mykhailo Mudryk,UKR,Chelsea,"22 years,  days",17.5,60,3.43,39.0,10.0,7.0,1.0,3.0,0.0,9,0.51,3.0,1.0,2.0,1.0,2.0,0.0,Forward,
Rodrigo Muniz,BRA,Fulham,"22 years,  days",17.7,39,2.2,21.0,0.0,3.0,9.0,4.0,2.0,2,0.11,1.0,0.0,0.0,1.0,0.0,0.0,Forward,
Daniel Muñoz,COL,Crystal Palace,"27 years,  days",16.0,46,2.88,38.0,2.0,1.0,1.0,2.0,2.0,7,0.44,5.0,1.0,1.0,0.0,0.0,0.0,Defender,Midfielder
Finley Munroe,ENG,Aston Villa,"18 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Arijanet Muric,KVX,Burnley,"24 years,  days",10.0,6,0.6,5.0,1.0,0.0,0.0,0.0,0.0,1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Murillo,BRA,Nottingham Forest,"21 years,  days",31.0,30,0.97,20.0,1.0,5.0,3.0,1.0,0.0,4,0.13,2.0,1.0,0.0,0.0,1.0,0.0,Defender,
Alex Murphy,IRL,Newcastle Utd,"19 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Forward
Jacob Murphy,ENG,Newcastle Utd,"28 years,  days",13.2,55,4.16,44.0,4.0,2.0,3.0,1.0,1.0,10,0.76,9.0,0.0,1.0,0.0,0.0,0.0,Forward,Defender
Vitaliy Mykolenko,UKR,Everton,"24 years,  days",27.4,37,1.35,32.0,0.0,1.0,4.0,0.0,0.0,3,0.11,1.0,0.0,0.0,2.0,0.0,0.0,Defender,
Marvelous Nakamba,ZIM,Luton Town,"29 years,  days",12.6,13,1.03,13.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Michael Ndiweni,ENG,Newcastle Utd,"19 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Reiss Nelson,ENG,Arsenal,"23 years,  days",3.0,9,3.02,7.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Zack Nelson,ENG,Luton Town,"18 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Neto,BRA,Bournemouth,"34 years,  days",32.0,5,0.16,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Pedro Neto,POR,Wolves,"23 years,  days",16.8,75,4.45,41.0,15.0,8.0,4.0,7.0,0.0,14,0.83,8.0,2.0,2.0,1.0,1.0,0.0,Forward,Midfielder
Moussa Niakhate,SEN,Nottingham Forest,"27 years,  days",16.2,11,0.68,8.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Eddie Nketiah,ENG,Arsenal,"24 years,  days",12.0,28,2.33,17.0,0.0,3.0,5.0,3.0,0.0,8,0.67,3.0,0.0,1.0,1.0,3.0,0.0,Forward,
Christopher Nkunku,FRA,Chelsea,"25 years,  days",4.9,13,2.65,10.0,0.0,1.0,1.0,1.0,0.0,1,0.2,1.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Rhys Norrington-Davies,WAL,Sheffield Utd,"24 years,  days",1.2,1,0.82,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Oliver Norwood,NIR,Sheffield Utd,"32 years,  days",16.0,32,2.0,19.0,12.0,0.0,1.0,0.0,0.0,1,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Matheus Nunes,POR,Wolves,"24 years,  days",2.0,7,3.52,5.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Matheus Nunes,POR,Manchester City,"24 years,  days",7.3,20,2.72,16.0,0.0,0.0,1.0,3.0,0.0,3,0.41,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Darwin Núñez,URU,Liverpool,"24 years,  days",22.7,79,3.47,60.0,0.0,5.0,12.0,2.0,0.0,14,0.62,11.0,0.0,0.0,2.0,1.0,0.0,Forward,
Ethan Nwaneri,ENG,Arsenal,"16 years,  days",0.2,1,6.43,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Christian Nørgaard,DEN,Brentford,"29 years,  days",27.8,63,2.26,48.0,8.0,0.0,3.0,2.0,2.0,3,0.11,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Mark O'Mahony,IRL,Brighton,"18 years,  days",0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Dara O'Shea,IRL,Burnley,"24 years,  days",32.1,32,1.0,27.0,0.0,0.0,3.0,1.0,1.0,6,0.19,6.0,0.0,0.0,0.0,0.0,0.0,Defender,
Michael Obafemi,IRL,Burnley,"23 years,  days",0.2,1,4.29,1.0,0.0,0.0,0.0,0.0,0.0,1,4.29,1.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Wilson Odobert,FRA,Burnley,"18 years,  days",23.3,76,3.26,55.0,0.0,10.0,8.0,3.0,0.0,4,0.17,3.0,0.0,0.0,1.0,0.0,0.0,Midfielder,Forward
Odeluga Offiah,ENG,Brighton,"20 years,  days",1.4,4,2.81,3.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Chiedozie Ogbene,IRL,Luton Town,"26 years,  days",22.2,79,3.56,51.0,2.0,12.0,5.0,9.0,0.0,9,0.41,1.0,0.0,2.0,2.0,4.0,0.0,Midfielder,Defender
Angelo Ogbonna,ITA,West Ham,"35 years,  days",7.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Michael Olakigbe,ENG,Brentford,"19 years,  days",0.7,3,4.58,2.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Forward
Michael Olise,FRA,Crystal Palace,"21 years,  days",14.2,82,5.79,44.0,15.0,11.0,5.0,7.0,0.0,14,0.99,11.0,1.0,2.0,0.0,0.0,0.0,Forward,Midfielder
Robin Olsen,SWE,Aston Villa,"33 years,  days",4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Andrew Omobamidele,IRL,Nottingham Forest,"21 years,  days",8.7,6,0.69,5.0,0.0,0.0,1.0,0.0,0.0,1,0.11,0.0,0.0,0.0,1.0,0.0,0.0,Defender,
Amadou Onana,BEL,Everton,"21 years,  days",23.2,56,2.41,47.0,0.0,1.0,3.0,4.0,1.0,1,0.04,0.0,0.0,0.0,0.0,0.0,1.0,Midfielder,
André Onana,CMR,Manchester Utd,"27 years,  days",38.0,6,0.16,6.0,0.0,0.0,0.0,0.0,0.0,1,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Ryan One,SCO,Sheffield Utd,"17 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Tyler Onyango,ENG,Everton,"20 years,  days",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Fred Onyedinma,ENG,Luton Town,"26 years,  days",4.5,5,1.11,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Frank Onyeka,NGA,Brentford,"25 years,  days",12.9,32,2.48,22.0,0.0,2.0,3.0,4.0,1.0,1,0.08,0.0,0.0,0.0,1.0,0.0,0.0,Midfielder,
Divock Origi,BEL,Nottingham Forest,"28 years,  days",6.7,16,2.38,11.0,1.0,2.0,1.0,1.0,0.0,2,0.3,2.0,0.0,0.0,0.0,0.0,0.0,Forward,
Stefan Ortega,GER,Manchester City,"30 years,  days",7.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Ben Osborn,ENG,Sheffield Utd,"28 years,  days",15.2,24,1.58,22.0,1.0,0.0,0.0,1.0,0.0,3,0.2,3.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Gabriel Osho,NGA,Luton Town,"24 years,  days",20.5,8,0.39,7.0,0.0,1.0,0.0,0.0,0.0,3,0.15,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
William Osula,DEN,Sheffield Utd,"19 years,  days",8.7,12,1.37,3.0,0.0,1.0,5.0,3.0,0.0,1,0.11,0.0,0.0,0.0,1.0,0.0,0.0,Forward,
Dango Ouattara,BFA,Bournemouth,"21 years,  days",13.7,45,3.3,34.0,1.0,4.0,2.0,1.0,3.0,3,0.22,3.0,0.0,0.0,0.0,0.0,0.0,Forward,Defender
David Ozoh,ENG,Crystal Palace,"18 years,  days",1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
João Palhinha,POR,Fulham,"28 years,  days",30.0,33,1.1,23.0,2.0,0.0,4.0,2.0,2.0,2,0.07,1.0,0.0,0.0,1.0,0.0,0.0,Midfielder,
Cole Palmer,ENG,Chelsea,"21 years,  days",29.0,162,5.59,116.0,12.0,14.0,10.0,5.0,5.0,26,0.9,20.0,0.0,1.0,2.0,1.0,2.0,Forward,Midfielder
Cole Palmer,ENG,Manchester City,"21 years,  days",0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Emerson Palmieri,ITA,West Ham,"28 years,  days",34.9,74,2.12,49.0,6.0,3.0,4.0,8.0,4.0,12,0.34,6.0,2.0,1.0,1.0,1.0,1.0,Defender,
Lucas Paquetá,BRA,West Ham,"25 years,  days",29.1,95,3.26,77.0,1.0,7.0,2.0,6.0,2.0,16,0.55,13.0,1.0,2.0,0.0,0.0,0.0,Forward,Midfielder
Ben Parkinson,ENG,Newcastle Utd,"18 years,  days",0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Thomas Partey,GHA,Arsenal,"30 years,  days",8.8,25,2.86,24.0,0.0,0.0,0.0,1.0,0.0,4,0.46,4.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Nathan Patterson,SCO,Everton,"21 years,  days",11.2,20,1.79,14.0,3.0,0.0,1.0,0.0,2.0,2,0.18,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Myles Peart-Harris,ENG,Brentford,"20 years,  days",0.1,1,6.92,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
