Player,Nation,Squad,Comp,Age,90s,SCA,SCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,GCA,GCA90,Types PassLive,Types PassDead,Types TO,Types Sh,Types Fld,Types Def,Position 1,Position 2
Victor Lindelöf,SWE,Manchester Utd,eng Premier League,29 years,14.8,19,1.29,19.0,0.0,0.0,0.0,0.0,0.0,3,0.2,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Jesper Lindstrøm,DEN,Napoli,it Serie A,23 years,4.8,24,5.01,17.0,3.0,3.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Jesper Lindstrøm,DEN,Eintracht Frankfurt,de Bundesliga,23 years,0.9,2,2.17,2.0,0.0,0.0,0.0,0.0,0.0,1,1.08,1.0,0.0,0.0,0.0,0.0,0.0,Forward,
Karol Linetty,POL,Torino,it Serie A,28 years,20.6,36,1.74,27.0,4.0,1.0,2.0,2.0,0.0,1,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Samuel Lino,BRA,Atlético Madrid,es La Liga,23 years,23.1,77,3.33,54.0,1.0,7.0,4.0,9.0,2.0,12,0.52,9.0,0.0,1.0,1.0,1.0,0.0,Defender,Midfielder
Luca Lipani,ITA,Sassuolo,it Serie A,18 years,4.3,9,2.1,5.0,0.0,2.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Pol Lirola,ESP,Frosinone,it Serie A,25 years,17.1,32,1.88,28.0,2.0,1.0,0.0,0.0,1.0,1,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Marcin Listkowski,POL,Lecce,it Serie A,25 years,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Valentino Livramento,ENG,Newcastle Utd,eng Premier League,20 years,14.6,36,2.47,28.0,0.0,2.0,1.0,3.0,2.0,5,0.34,3.0,0.0,1.0,0.0,1.0,0.0,Defender,
Dejan Ljubicic,AUT,Köln,de Bundesliga,25 years,22.8,61,2.68,52.0,1.0,1.0,5.0,1.0,1.0,2,0.09,1.0,0.0,0.0,1.0,0.0,0.0,Midfielder,Forward
Javier Llabrés,ESP,Mallorca,es La Liga,20 years,2.7,7,2.55,2.0,4.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Diego Llorente,ESP,Roma,it Serie A,29 years,24.1,22,0.91,19.0,0.0,0.0,2.0,1.0,0.0,2,0.08,2.0,0.0,0.0,0.0,0.0,0.0,Defender,
Marcos Llorente,ESP,Atlético Madrid,es La Liga,28 years,28.5,48,1.68,40.0,0.0,3.0,2.0,3.0,0.0,8,0.28,7.0,0.0,0.0,1.0,0.0,0.0,Midfielder,Defender
Gautier Lloris,FRA,Le Havre,fr Ligue 1,28 years,30.9,18,0.58,16.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Abou Lô,SEN,Metz,fr Ligue 1,23 years,2.2,2,0.91,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Giovani Lo Celso,ARG,Tottenham,eng Premier League,27 years,5.6,28,4.96,22.0,2.0,1.0,2.0,1.0,0.0,3,0.53,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Stanislav Lobotka,SVK,Napoli,it Serie A,28 years,36.5,88,2.41,77.0,1.0,4.0,1.0,4.0,1.0,4,0.11,4.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Manuel Locatelli,ITA,Juventus,it Serie A,25 years,33.4,80,2.39,73.0,2.0,1.0,2.0,1.0,1.0,7,0.21,7.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Bradley Locko,FRA,Brest,fr Ligue 1,21 years,32.9,63,1.92,49.0,2.0,6.0,2.0,3.0,1.0,7,0.21,6.0,0.0,1.0,0.0,0.0,0.0,Defender,
Tom Lockyer,WAL,Luton Town,eng Premier League,28 years,13.0,10,0.77,9.0,0.0,0.0,0.0,0.0,1.0,1,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Renan Lodi,BRA,Marseille,fr Ligue 1,25 years,13.7,27,1.97,18.0,8.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Ruben Loftus-Cheek,ENG,Milan,it Serie A,27 years,23.0,51,2.22,45.0,0.0,1.0,3.0,2.0,0.0,6,0.26,3.0,0.0,1.0,1.0,1.0,0.0,Midfielder,
Elysée Logbo,FRA,Le Havre,fr Ligue 1,19 years,2.8,3,1.09,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Enzo Loiodice,FRA,Las Palmas,es La Liga,22 years,19.9,41,2.06,34.0,4.0,1.0,0.0,2.0,0.0,2,0.1,1.0,1.0,0.0,0.0,0.0,0.0,Midfielder,
Sean Longstaff,ENG,Newcastle Utd,eng Premier League,25 years,30.5,51,1.67,43.0,1.0,1.0,3.0,3.0,0.0,7,0.23,3.0,1.0,1.0,1.0,1.0,0.0,Midfielder,
Ademola Lookman,NGA,Atalanta,it Serie A,25 years,21.0,101,4.81,65.0,10.0,16.0,4.0,4.0,2.0,14,0.67,9.0,1.0,2.0,1.0,1.0,0.0,Forward,Midfielder
Noah Loosli,SUI,Bochum,de Bundesliga,26 years,3.8,2,0.52,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Anthony Lopes,POR,Lyon,fr Ligue 1,32 years,31.0,3,0.1,2.0,1.0,0.0,0.0,0.0,0.0,1,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
David López,ESP,Girona,es La Liga,33 years,21.8,13,0.6,8.0,1.0,1.0,3.0,0.0,0.0,1,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Diego López,ESP,Valencia,es La Liga,21 years,29.5,79,2.68,65.0,0.0,5.0,2.0,3.0,4.0,11,0.37,9.0,0.0,1.0,1.0,0.0,0.0,Midfielder,Forward
Fermin López,ESP,Barcelona,es La Liga,20 years,16.1,42,2.61,33.0,0.0,5.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Javi López,ESP,Alavés,es La Liga,21 years,26.5,51,1.92,39.0,2.0,4.0,2.0,4.0,0.0,8,0.3,6.0,0.0,1.0,0.0,1.0,0.0,Defender,
Maxime Lopez,FRA,Fiorentina,it Serie A,25 years,8.9,19,2.14,14.0,3.0,0.0,1.0,0.0,1.0,2,0.23,1.0,1.0,0.0,0.0,0.0,0.0,Midfielder,
Maxime Lopez,FRA,Sassuolo,it Serie A,25 years,1.6,5,3.21,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Pau López,ESP,Marseille,fr Ligue 1,28 years,32.7,10,0.31,9.0,1.0,0.0,0.0,0.0,0.0,1,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Unai López,ESP,Rayo Vallecano,es La Liga,27 years,23.4,58,2.47,34.0,15.0,2.0,4.0,0.0,3.0,3,0.13,2.0,0.0,0.0,0.0,0.0,1.0,Midfielder,
Dion Lopy,SEN,Almería,es La Liga,21 years,21.3,45,2.11,34.0,0.0,4.0,1.0,5.0,1.0,3,0.14,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Anthony Losilla,FRA,Bochum,de Bundesliga,37 years,28.6,43,1.5,34.0,0.0,2.0,3.0,3.0,1.0,2,0.07,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Jordan Lotomba,SUI,Nice,fr Ligue 1,24 years,20.0,27,1.35,19.0,3.0,1.0,2.0,2.0,0.0,1,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Tom Louchet,FRA,Nice,fr Ligue 1,20 years,4.5,14,3.1,6.0,5.0,0.0,1.0,2.0,0.0,2,0.44,1.0,0.0,0.0,0.0,1.0,0.0,Midfielder,Defender
Imran Louza,MAR,Lorient,fr Ligue 1,24 years,9.6,46,4.8,25.0,16.0,1.0,3.0,1.0,0.0,3,0.31,2.0,1.0,0.0,0.0,0.0,0.0,Midfielder,
Matteo Lovato,ITA,Torino,it Serie A,23 years,6.0,1,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Matteo Lovato,ITA,Salernitana,it Serie A,23 years,10.5,10,0.95,10.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Dejan Lovren,CRO,Lyon,fr Ligue 1,34 years,8.0,4,0.5,3.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Sandi Lovrić,SVN,Udinese,it Serie A,25 years,22.1,78,3.53,48.0,21.0,3.0,6.0,0.0,0.0,7,0.32,4.0,1.0,1.0,1.0,0.0,0.0,Midfielder,
Max Lowe,ENG,Sheffield Utd,eng Premier League,26 years,5.6,8,1.43,7.0,0.0,0.0,1.0,0.0,0.0,1,0.18,1.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Anthony Lozano,HON,Getafe,es La Liga,30 years,1.0,2,1.94,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Anthony Lozano,HON,Almería,es La Liga,30 years,8.6,19,2.22,12.0,1.0,1.0,0.0,5.0,0.0,1,0.12,0.0,0.0,0.0,0.0,1.0,0.0,Forward,
Lucas,BRA,Cádiz,es La Liga,22 years,17.1,41,2.4,31.0,8.0,0.0,1.0,0.0,1.0,1,0.06,0.0,0.0,0.0,0.0,0.0,1.0,Defender,
Lorenzo Lucca,ITA,Udinese,it Serie A,22 years,28.8,46,1.6,29.0,0.0,1.0,9.0,6.0,1.0,4,0.14,3.0,0.0,0.0,1.0,0.0,0.0,Forward,
Jhon Lucumí,COL,Bologna,it Serie A,25 years,24.6,20,0.81,17.0,0.0,1.0,2.0,0.0,0.0,1,0.04,0.0,0.0,0.0,1.0,0.0,0.0,Defender,
José Luis Gayà,ESP,Valencia,es La Liga,28 years,19.9,45,2.26,40.0,2.0,1.0,0.0,0.0,2.0,7,0.35,7.0,0.0,0.0,0.0,0.0,0.0,Defender,
José Luis Morales,ESP,Villarreal,es La Liga,36 years,11.6,24,2.06,15.0,0.0,3.0,5.0,1.0,0.0,3,0.26,3.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
José Luis Palomino,ARG,Atalanta,it Serie A,33 years,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Douglas Luiz,BRA,Aston Villa,eng Premier League,25 years,33.3,117,3.52,61.0,34.0,6.0,10.0,5.0,1.0,10,0.3,5.0,4.0,0.0,0.0,1.0,0.0,Midfielder,
Romelu Lukaku,BEL,Roma,it Serie A,30 years,29.3,67,2.28,56.0,0.0,3.0,6.0,1.0,1.0,9,0.31,8.0,0.0,1.0,0.0,0.0,0.0,Forward,
Castello Lukeba,FRA,RB Leipzig,de Bundesliga,20 years,24.3,12,0.49,12.0,0.0,0.0,0.0,0.0,0.0,1,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Dodi Lukebakio,BEL,Sevilla,es La Liga,25 years,12.5,48,3.84,32.0,2.0,8.0,1.0,5.0,0.0,6,0.48,5.0,0.0,1.0,0.0,0.0,0.0,Forward,Midfielder
Saša Lukić,SRB,Fulham,eng Premier League,26 years,12.5,27,2.17,19.0,0.0,1.0,6.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Karlo Lulić,CRO,Frosinone,it Serie A,27 years,0.2,1,4.74,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Andriy Lunin,UKR,Real Madrid,es La Liga,24 years,21.0,2,0.1,2.0,0.0,0.0,0.0,0.0,0.0,1,0.05,1.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Sebastiano Luperto,ITA,Empoli,it Serie A,26 years,37.8,29,0.77,21.0,2.0,0.0,4.0,1.0,1.0,1,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Mateus Lusuardi,BRA,Frosinone,it Serie A,19 years,2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Andreas Luthe,GER,Bochum,de Bundesliga,36 years,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Zito Luvumbo,ANG,Cagliari,it Serie A,21 years,21.6,65,3.01,39.0,1.0,10.0,4.0,11.0,0.0,7,0.32,6.0,0.0,0.0,0.0,1.0,0.0,Forward,Midfielder
Charalambos Lykogiannis,GRE,Bologna,it Serie A,29 years,10.0,19,1.89,13.0,4.0,1.0,1.0,0.0,0.0,3,0.3,2.0,0.0,1.0,0.0,0.0,0.0,Defender,
Senne Lynen,BEL,Werder Bremen,de Bundesliga,24 years,20.0,27,1.35,25.0,0.0,0.0,0.0,0.0,2.0,5,0.25,5.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Joshua M'Bahia,CIV,Clermont Foot,fr Ligue 1,18 years,0.2,3,19.29,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Othmane Maamma,MAR,Montpellier,fr Ligue 1,17 years,1.0,7,7.16,3.0,0.0,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Ian Maatsen,NED,Chelsea,eng Premier League,21 years,2.3,5,2.15,3.0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Ian Maatsen,NED,Dortmund,de Bundesliga,21 years,14.0,27,1.92,26.0,0.0,0.0,0.0,0.0,1.0,5,0.36,4.0,0.0,0.0,0.0,0.0,1.0,Defender,
Alexis Mac Allister,ARG,Liverpool,eng Premier League,24 years,28.9,108,3.74,92.0,5.0,3.0,1.0,5.0,2.0,12,0.42,10.0,1.0,1.0,0.0,0.0,0.0,Midfielder,
Deiver Machado,COL,Lens,fr Ligue 1,29 years,12.5,24,1.92,18.0,0.0,1.0,2.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Darwin Machís,VEN,Cádiz,es La Liga,30 years,8.7,21,2.4,12.0,7.0,0.0,1.0,1.0,0.0,1,0.11,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
James Maddison,ENG,Tottenham,eng Premier League,26 years,23.7,161,6.79,110.0,22.0,10.0,6.0,10.0,3.0,19,0.8,13.0,1.0,2.0,1.0,1.0,1.0,Midfielder,
Noni Madueke,ENG,Chelsea,eng Premier League,21 years,11.7,51,4.35,34.0,1.0,8.0,2.0,6.0,0.0,8,0.68,4.0,0.0,1.0,0.0,3.0,0.0,Forward,
Pablo Maffeo,ESP,Mallorca,es La Liga,26 years,16.2,37,2.21,18.0,4.0,6.0,2.0,6.0,1.0,5,0.3,3.0,0.0,0.0,1.0,1.0,0.0,Defender,
Gabriel Magalhães,BRA,Arsenal,eng Premier League,25 years,33.8,23,0.68,20.0,1.0,0.0,1.0,0.0,1.0,3,0.09,3.0,0.0,0.0,0.0,0.0,0.0,Defender,
Soungoutou Magassa,FRA,Monaco,fr Ligue 1,19 years,15.0,13,0.87,11.0,0.0,0.0,1.0,0.0,1.0,1,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Giulio Maggiore,ITA,Salernitana,it Serie A,25 years,20.0,32,1.6,22.0,0.0,1.0,6.0,2.0,1.0,3,0.15,3.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Matej Maglica,CRO,Darmstadt 98,de Bundesliga,24 years,18.9,21,1.11,18.0,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Giangiacomo Magnani,ITA,Hellas Verona,it Serie A,27 years,27.2,22,0.81,19.0,0.0,1.0,0.0,1.0,1.0,6,0.22,5.0,0.0,0.0,0.0,0.0,1.0,Defender,
Hugo Magnetti,FRA,Brest,fr Ligue 1,25 years,26.0,60,2.31,47.0,0.0,5.0,6.0,1.0,1.0,5,0.19,2.0,0.0,1.0,2.0,0.0,0.0,Midfielder,
Yohann Magnin,FRA,Clermont Foot,fr Ligue 1,26 years,18.7,28,1.5,23.0,2.0,0.0,1.0,1.0,1.0,2,0.11,1.0,0.0,0.0,1.0,0.0,0.0,Midfielder,
Frank Magri,CMR,Toulouse,fr Ligue 1,23 years,16.0,32,2.0,21.0,1.0,4.0,2.0,4.0,0.0,3,0.19,2.0,0.0,0.0,1.0,0.0,0.0,Forward,Midfielder
Harry Maguire,ENG,Manchester Utd,eng Premier League,30 years,18.4,24,1.31,19.0,0.0,0.0,1.0,1.0,3.0,4,0.22,2.0,0.0,0.0,1.0,1.0,0.0,Defender,
Jon Magunazelaia,ESP,Real Sociedad,es La Liga,23 years,1.3,3,2.23,1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Adel Mahamoud,COM,Nantes,fr Ligue 1,20 years,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Arne Maier,GER,Augsburg,de Bundesliga,24 years,11.1,66,5.92,37.0,19.0,2.0,6.0,2.0,0.0,6,0.54,3.0,1.0,0.0,2.0,0.0,0.0,Midfielder,
Habib Maïga,CIV,Metz,fr Ligue 1,27 years,1.6,1,0.61,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Mike Maignan,FRA,Milan,it Serie A,28 years,29.0,8,0.28,7.0,1.0,0.0,0.0,0.0,0.0,1,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Linton Maina,GER,Köln,de Bundesliga,24 years,21.1,58,2.75,44.0,1.0,3.0,3.0,6.0,1.0,5,0.24,4.0,0.0,0.0,0.0,1.0,0.0,Forward,Midfielder
Patrick Mainka,GER,Heidenheim,de Bundesliga,28 years,34.0,26,0.76,16.0,0.0,0.0,8.0,0.0,2.0,1,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Kobbie Mainoo,ENG,Manchester Utd,eng Premier League,18 years,21.4,40,1.87,31.0,0.0,3.0,3.0,2.0,1.0,8,0.37,3.0,0.0,2.0,2.0,1.0,0.0,Midfielder,
Ainsley Maitland-Niles,ENG,Lyon,fr Ligue 1,25 years,15.9,33,2.07,27.0,0.0,0.0,4.0,1.0,1.0,7,0.44,7.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Radosław Majecki,POL,Monaco,fr Ligue 1,23 years,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Lovro Majer,CRO,Rennes,fr Ligue 1,25 years,0.2,2,10.59,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Lovro Majer,CRO,Wolfsburg,de Bundesliga,25 years,23.4,84,3.59,64.0,10.0,2.0,4.0,4.0,0.0,11,0.47,8.0,0.0,1.0,1.0,1.0,0.0,Midfielder,Forward
Jean-Victor Makengo,FRA,Lorient,fr Ligue 1,25 years,5.3,4,0.75,3.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Jordy Makengo,FRA,Freiburg,de Bundesliga,21 years,11.4,17,1.49,16.0,1.0,0.0,0.0,0.0,0.0,1,0.09,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Antoine Makoumbou,CGO,Cagliari,it Serie A,25 years,30.0,51,1.7,42.0,2.0,4.0,1.0,1.0,1.0,2,0.07,1.0,0.0,0.0,0.0,0.0,1.0,Midfielder,
Nemanja Maksimović,SRB,Getafe,es La Liga,28 years,36.3,46,1.27,35.0,0.0,0.0,6.0,2.0,3.0,5,0.14,3.0,0.0,0.0,2.0,0.0,0.0,Midfielder,
Julián Malatini,ARG,Werder Bremen,de Bundesliga,22 years,6.7,6,0.9,5.0,0.0,1.0,0.0,0.0,0.0,1,0.15,0.0,0.0,1.0,0.0,0.0,0.0,Defender,
Daniel Maldini,ITA,Monza,it Serie A,21 years,3.7,19,5.14,13.0,2.0,4.0,0.0,0.0,0.0,2,0.54,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Daniel Maldini,ITA,Empoli,it Serie A,21 years,2.9,7,2.4,3.0,1.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Midfielder
Youssef Maleh,MAR,Empoli,it Serie A,24 years,28.9,62,2.14,51.0,5.0,2.0,3.0,0.0,1.0,2,0.07,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Donyell Malen,NED,Dortmund,de Bundesliga,24 years,19.8,74,3.74,49.0,0.0,7.0,13.0,4.0,1.0,14,0.71,6.0,0.0,2.0,3.0,2.0,1.0,Forward,Midfielder
Ruslan Malinovskyi,UKR,Genoa,it Serie A,30 years,17.2,34,1.98,23.0,3.0,1.0,4.0,3.0,0.0,2,0.12,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Lennard Maloney,USA,Heidenheim,de Bundesliga,23 years,25.4,20,0.79,16.0,0.0,0.0,3.0,0.0,1.0,2,0.08,2.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Aaron Malouda,FRA,Lille,fr Ligue 1,17 years,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,
Giorgi Mamardashvili,GEO,Valencia,es La Liga,22 years,36.5,7,0.19,2.0,5.0,0.0,0.0,0.0,0.0,1,0.03,0.0,1.0,0.0,0.0,0.0,0.0,Goalkeeper,
David Mamutovic,GER,Mainz 05,de Bundesliga,22 years,0.1,1,8.18,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,Defender
Wilson Manafá,POR,Granada,es La Liga,29 years,2.7,1,0.37,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Hianga Mananga Mbock,FRA,Brest,fr Ligue 1,23 years,0.1,1,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Gianluca Mancini,ITA,Roma,it Serie A,27 years,31.9,28,0.88,23.0,0.0,1.0,2.0,1.0,1.0,1,0.03,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Marco Mancosu,ITA,Cagliari,it Serie A,34 years,1.7,7,4.04,4.0,0.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Steve Mandanda,FRA,Rennes,fr Ligue 1,38 years,34.0,3,0.09,1.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Christos Mandas,GRE,Lazio,it Serie A,21 years,8.0,1,0.12,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Reinildo Mandava,MOZ,Atlético Madrid,es La Liga,29 years,8.1,12,1.48,8.0,1.0,3.0,0.0,0.0,0.0,2,0.25,1.0,0.0,1.0,0.0,0.0,0.0,Defender,
Aïssa Mandi,ALG,Villarreal,es La Liga,31 years,12.4,15,1.21,15.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Rolando Mandragora,ITA,Fiorentina,it Serie A,26 years,17.6,35,1.98,23.0,6.0,3.0,3.0,0.0,0.0,8,0.45,5.0,1.0,1.0,1.0,0.0,0.0,Midfielder,
Orel Mangala,BEL,Nottingham Forest,eng Premier League,25 years,17.4,20,1.15,17.0,0.0,0.0,0.0,1.0,2.0,2,0.12,1.0,0.0,0.0,0.0,0.0,1.0,Midfielder,
Orel Mangala,BEL,Lyon,fr Ligue 1,25 years,4.4,13,2.95,11.0,0.0,1.0,0.0,1.0,0.0,1,0.23,1.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Vito Mannone,ITA,Lille,fr Ligue 1,35 years,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,
Kostas Manolas,GRE,Salernitana,it Serie A,32 years,5.4,4,0.74,2.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,
Javier Manquillo,ESP,Celta Vigo,es La Liga,29 years,8.3,7,0.85,6.0,1.0,0.0,0.0,0.0,0.0,1,0.12,1.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Braydon Manu,GHA,Darmstadt 98,de Bundesliga,26 years,1.9,7,3.68,5.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,
Benson Manuel,ANG,Burnley,eng Premier League,26 years,1.3,6,4.7,3.0,0.0,2.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
Faitout Maouassa,FRA,Granada,es La Liga,25 years,2.5,6,2.19,3.0,2.0,1.0,0.0,0.0,0.0,1,0.36,1.0,0.0,0.0,0.0,0.0,0.0,Defender,Midfielder
Faitout Maouassa,FRA,Lens,fr Ligue 1,25 years,0.8,4,4.68,2.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Defender
Marcão,BRA,Sevilla,es La Liga,27 years,3.9,4,1.01,4.0,0.0,0.0,0.0,0.0,0.0,1,0.25,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Solly March,ENG,Brighton,eng Premier League,29 years,6.2,22,3.57,8.0,8.0,2.0,1.0,2.0,1.0,2,0.32,0.0,1.0,0.0,0.0,1.0,0.0,Forward,Defender
Riccardo Marchizza,ITA,Frosinone,it Serie A,25 years,12.8,14,1.1,11.0,1.0,0.0,0.0,1.0,1.0,4,0.31,3.0,0.0,0.0,0.0,0.0,1.0,Defender,
Gian Marco Ferrari,ITA,Sassuolo,it Serie A,31 years,25.2,35,1.39,32.0,1.0,0.0,1.0,0.0,1.0,1,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Defender,
Óscar de Marcos,ESP,Athletic Club,es La Liga,34 years,25.1,46,1.83,40.0,5.0,0.0,0.0,1.0,0.0,7,0.28,7.0,0.0,0.0,0.0,0.0,0.0,Defender,
Alberto Marí,ESP,Valencia,es La Liga,22 years,3.1,8,2.62,6.0,0.0,0.0,1.0,1.0,0.0,3,0.98,1.0,0.0,0.0,1.0,1.0,0.0,Forward,
José Mari,ESP,Cádiz,es La Liga,35 years,0.2,4,25.71,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,Forward
